79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(42)<4>	EQ:	reichenbach	P	reichenbach	47.880240	10.699680	82.559872km	2849180
(42)<4>	EQ:	reichenbach	P	reichenbach	48.210140	8.280370	101.542029km	2849183
(42)<4>	EQ:	reichenbach	A	reichenbach	50.866700	11.883300	356.891147km	6550396
(42)<4>	EQ:	reichenbach	A	reichenbach	49.650000	7.283330	249.323762km	6553628
(42)<4>	EQ:	reichenbach	A	reichenbach	49.183300	12.350000	239.745828km	6556635
(42)<4>	EQ:	reichenbach	A	reichenbach	50.422600	11.411900	297.665016km	6556809
(5)<1>	EQ:	steinheim	A	steinheim	51.850000	9.100000	2.374541km	6557631
(1)<0>	EQ:	dransfeld	P	dransfeld	51.499100	9.761790	0.000000km	2935326
(1)<0>	EQ:	visbek	P	visbek	52.833330	8.316670	0.000000km	2817139
(1)<0>	EQ:	odelzhausen	P	odelzhausen	48.308890	11.198890	0.000000km	2858149
(3)<0>	EQ:	selters	P	selters	50.532530	7.755770	0.000000km	2833138
(3)<0>	EQ:	selters	P	selters	50.516810	8.289530	37.890535km	2833139
(3)<0>	EQ:	selters	P	selters	50.340420	9.034710	93.339590km	2833140
(1)<0>	EQ:	sassenburg	P	sassenburg	52.516670	10.633330	0.000000km	3208618
(1)<0>	EQ:	harrislee	P	harrislee	54.800000	9.383330	0.000000km	2910302
(0)<0>	No match: lutjenburg
(1)<0>	EQ:	mildstedt	P	mildstedt	54.466670	9.100000	0.000000km	2871130
(1)<0>	EQ:	biblis	P	biblis	49.691670	8.458610	0.000000km	2949367
(1)<0>	EQ:	ostrach	P	ostrach	47.950000	9.383330	0.000000km	2856222
(2)<1>	EQ:	rehau	A	rehau	50.248600	12.035400	0.108109km	6558315
(1)<0>	EQ:	ober-olm	P	ober-olm	49.937220	8.188890	0.000000km	2859481
(1)<0>	EQ:	bellheim	P	bellheim	49.198330	8.279440	0.000000km	2951206
(1)<0>	EQ:	hilchenbach	P	hilchenbach	50.996870	8.110620	0.000000km	2904808
(1)<0>	EQ:	uslar	P	uslar	51.656900	9.635010	0.000000km	2818094
(1)<0>	EQ:	salach	P	salach	48.691980	9.737150	0.000000km	2842331
(1)<0>	EQ:	bruck in der oberpfalz	P	bruck in der oberpfalz	49.249270	12.307100	0.000000km	2943425
(1)<0>	EQ:	gottmadingen	P	gottmadingen	47.735110	8.776870	0.000000km	2918612
(1)<0>	EQ:	oer-erkenschwick	P	oer-erkenschwick	51.641980	7.264510	0.000000km	2857904
(0)<1>	No match:	waldachtal	A	waldachtal	48.490500	8.562810	362.639138km	3209425
